color,date,slug,link,presenter,readings,optional,,due
#e4f6ff,22-Jan,Intro,,,,,,
white,29-Jan,Usability,,,,,,
#e4f6ff,5-Feb,Visualization,,,,,,
white,12-Feb,Interfaces,,,,,,Proposal
#e4f6ff,19-Feb,Interfaces,,,,,,
white,26-Feb,Human-in-the-loop,,,,,,
#e4f6ff,5-Mar,Data Cleaning,,,,,,
#e4f6ff,12-Mar,Data Cleaning,,,,,,Project Check-in
white,22-Mar,Performance,,,,,,
#e4f6ff,28-Mar,Performance,,,,,,
white,2-Apr,Interaction,,,,,,
#e4f6ff,9-Apr,TBA,,,,,,
white,16-Apr,TBA,,,,,,
#e4f6ff,23-Apr,TBA,,,,,,
white,30-Apr,Final Project Showcase,,,,,,Poster/Demo
#e4f6ff,10-May,TBA,,,,,,Report
